id_number,name,name_english,slug,type,country_code,poster_path,total_episodes,latest_episode_sub,latest_episode_dub,airing_status,aired_from,runtime,rating_type,has_sub,has_dub,mal_score,genres,id
17920,Kaginado,Kaginado,kaginado,TV,jp,42/f1/42f139c73c2a3cb15aa9e2860754b11a/42f139c73c2a3cb15aa9e2860754b11a.jpg,12.0,12.0,0,1,,6.0,PG-13,1,0,,"Comedy,Slice of Life",x740Nq
17921,Bright: Samurai Soul,Bright: Samurai Soul,bright-samurai-soul,ONA,jp,8f/66/8f665db88f3db18e5dbce59719624d4a/8f665db88f3db18e5dbce59719624d4a.jpg,1.0,1.0,1,1,"Oct 12, 2021",80.0,R,1,1,,"Action,Adventure,Fantasy",ZShHLW
17922,Quanzhi Fashi V,Quanzhi Fashi 5th Season,quanzhi-fashi-5th-season,ONA,cn,8e/bf/8ebfc9ba2987e467efa242c60aa0ece0/8ebfc9ba2987e467efa242c60aa0ece0.jpg,12.0,12.0,0,1,"Jul 28, 2021",20.0,PG-13,1,0,7.32,"Action,Fantasy",TVUc9L
17925,Cike Wu Liuqi Specials,Scissor Seven Specials,scissor-seven-specials,Special,jp,31/80/31807f183405ef8c2f9589665b8340e9/31807f183405ef8c2f9589665b8340e9.jpg,4.0,4.0,4,1,,15.0,PG-13,1,1,,"Action,Comedy",wsOzTO
17926,86 EIGHTY-SIX Season 2 Recap,86 EIGHTY-SIX Season 2 Recap,86-eighty-six-season-2-recap,Special,jp,59/60/5960ac0a8ac3da607f52b06f58d10457/5960ac0a8ac3da607f52b06f58d10457.jpg,2.0,3.0,0,1,,24.0,R,1,0,,"Action,Drama,Sci-Fi",VvfBUM
17927,Saihate no Paladin,The Faraway Paladin (Special): The Path Taken,the-faraway-paladin-special-the-path-taken,Special,jp,d5/07/d507f5414847541c47c6281d3ff033f9/d507f5414847541c47c6281d3ff033f9.jpg,1.0,1.0,1,1,"Nov 28, 2021",22.0,PG-13,1,1,,"Adventure,Fantasy",yZRMh0
17919,Deep Insanity: The Lost Child,Deep Insanity: The Lost Child,deep-insanity-the-lost-child,TV,jp,b8/22/b8222ba425b9ed9288718a28cb075314/b8222ba425b9ed9288718a28cb075314.jpg,12.0,12.0,12,1,,24.0,PG-13,1,1,,Sci-Fi,5Cq3rZ
17923,Lupin III: Part 6 Episode 0,LUPIN THE 3rd PART 6 Episode 0,lupin-the-3rd-part-6-episode-0,Special,jp,5a/e5/5ae519a260cbb85b3790889f18f64d97/5ae519a260cbb85b3790889f18f64d97.jpg,1.0,1.0,1,1,,24.0,PG-13,1,1,,"Action,Adventure,Comedy,Mystery",o6zYrO
17924,Dou Shen Ji,Ancient Girl's-Frame,ancient-girlsframe,ONA,jp,97/79/97794bf388d89873a97499c8233db2e8/97794bf388d89873a97499c8233db2e8.jpg,12.0,12.0,0,1,,24.0,PG-13,1,0,,"Action,Sci-Fi",HnWph5
17928,Domestic na Kanojo (Uncensored),Domestic Girlfriend (Uncensored),domestic-girlfriend-uncensored,TV,jp,7e/17/7e179c82dda901a6dc3cf68aff8c0a4e/7e179c82dda901a6dc3cf68aff8c0a4e.jpg,12.0,12.0,12,1,,25.0,R,1,1,,"Drama,Romance,School,Shounen",00tuOD
17929,Hajimete no Gal (Uncensored),My First Girlfriend is a Gal (Uncensored),my-first-girlfriend-is-a-gal-uncensored,TV,jp,a3/ed/a3eda50e38b0d27ed99491ac145b146c/a3eda50e38b0d27ed99491ac145b146c.jpg,10.0,10.0,10,1,,23.0,R+,1,1,,"Comedy,Ecchi,Romance,School,Shounen",HXNBvT
17936,Hakozume: Kouban Joshi no Gyakushuu,Police in a Pod,police-in-a-pod,TV,jp,c4/61/c46153cc22b7e9db575e2e5dc342d6ff/c46153cc22b7e9db575e2e5dc342d6ff.jpg,13.0,13.0,0,1,"Jan 5, 2022",24.0,PG-13,1,0,6.87,"Comedy,Drama,Slice of Life",AJfZZ0
17938,Kaijin Kaihatsu-bu no Kuroitsu-san,Kaijin Kaihatsu-bu no Kuroitsu-san,kaijin-kaihatsu-bu-no-kuroitsu-san,TV,jp,e1/e3/e1e3f6e3529ae5595b3241c81c26485b/e1e3f6e3529ae5595b3241c81c26485b.png,12.0,12.0,12,1,"Jan 9, 2022",23.0,PG-13,1,1,,"Comedy,Fantasy",9L3UDy
17939,Ryman's Club,Ryman's Club,rymans-club,TV,jp,c5/e4/c5e4f446615021fe369af2800087416e/c5e4f446615021fe369af2800087416e.jpg,12.0,12.0,12,1,"Jan 23, 2022",22.0,PG-13,1,1,,Sports,BMNsxg
17930,Sono Bisque Doll wa Koi wo Suru,My Dress-Up Darling,my-dress-up-darling,TV,jp,55/67/5567bb1cdafd71b2f2e04e353000517b/5567bb1cdafd71b2f2e04e353000517b.jpg,12.0,12.0,12,1,"Jan 9, 2022",24.0,PG-13,1,1,8.34,"Comedy,Ecchi,Romance,Slice of Life",aYlVyM
17931,Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,How a Realist Hero Rebuilt the Kingdom Part 2,how-a-realist-hero-rebuilt-the-kingdom-part-2,TV,jp,d1/b8/d1b898989934ca5afaefb06a8318577d/d1b898989934ca5afaefb06a8318577d.jpg,13.0,13.0,13,1,"Jan 9, 2022",24.0,PG-13,1,1,7.45,"Action,Adventure,Fantasy,Romance",QgaPeZ
17932,Vanitas no Karte Part 2,The Case Study of Vanitas Part 2,the-case-study-of-vanitas-part-2,TV,jp,69/a3/69a33eed1eac666829dbcc4b0f0e0c78/69a33eed1eac666829dbcc4b0f0e0c78.png,12.0,12.0,12,1,"Jan 15, 2022",24.0,R,1,1,,"Mystery,Drama,Supernatural",uz7XzT
17933,Karakai Jouzu no Takagi-san 3,Teasing Master Takagi-san 3,teasing-master-takagi-san-3,TV,jp,9e/d8/9ed8eb9e6316a5bf07a9be9b1944835b/9ed8eb9e6316a5bf07a9be9b1944835b.jpg,12.0,12.0,12,1,"Jan 8, 2022",24.0,PG-13,1,1,8.36,"Comedy,Romance,Slice of Life",wiKXgd
17934,Fantasy Bishoujo Juniku Ojisan to,Life With an Ordinary Guy Who Reincarnated Into a Total Fantasy Knockout,life-with-an-ordinary-guy-who-reincarnated-into-a-total-fantasy-knockout,TV,jp,59/84/5984b825a46f169f7287eabf9dc35035/5984b825a46f169f7287eabf9dc35035.png,12.0,12.0,12,1,"Jan 12, 2022",24.0,PG-13,1,1,,"Adventure,Comedy,Fantasy",acGit9
17940,Sorairo Utility,Sorairo Utility,sorairo-utility,Special,jp,fb/d6/fbd65b62a127898c3b043f2ea04ea050/fbd65b62a127898c3b043f2ea04ea050.jpg,1.0,1.0,0,1,"Dec 31, 2021",15.0,PG-13,1,0,,Sports,T8SrQz
17943,Atasha Kawajiri Kodama Da yo: Dangerous Lifehacker no Tadareta Seikatsu,Atasha Kawajiri Kodama Da yo: Dangerous Lifehacker no Tadareta Seikatsu,atasha-kawajiri-kodama-da-yo-dangerous-lifehacker-no-tadareta-seikatsu,TV,jp,d0/dd/d0dde180ff69638ca0c1f6dcc6dd9e05/d0dde180ff69638ca0c1f6dcc6dd9e05.jpg,24.0,24.0,0,1,"Jan 13, 2022",3.0,PG-13,1,0,5.56,"Comedy,Slice of Life",90tOHL
17935,Tokyo 24-ku,Tokyo Twenty Fourth Ward,tokyo-twenty-fourth-ward,TV,jp,24/b1/24b15044482062ead72030e61ddb1a1e/24b15044482062ead72030e61ddb1a1e.jpg,12.0,12.0,12,1,"Jan 6, 2022",24.0,PG-13,1,1,7.03,Adventure,LK3Xbr
17937,Tribe Nine,Tribe Nine,tribe-nine,TV,jp,12/13/12134eae0520bf4402d69ea83bf3bd74/12134eae0520bf4402d69ea83bf3bd74.jpg,12.0,12.0,12,1,"Jan 10, 2022",24.0,PG-13,1,1,,"Action,Sports",iSi9jE
17942,Ninjala (TV),Ninjala (TV),ninjala-tv,TV,jp,78/ff/78ff6f4f63f4e6e879164fdb4d43c8e3/78ff6f4f63f4e6e879164fdb4d43c8e3.jpg,-1.0,111.0,0,2,"Jan 8, 2022",23.0,PG-13,1,0,,"Action,Comedy,Sci-Fi",c9RLih
17945,Delicious Party♡Precure,Delicious Party♡Precure,delicious-partyprecure,TV,jp,8a/d8/8ad880700443ac9ec86140e913bf3bf9/8ad880700443ac9ec86140e913bf3bf9.jpg,45.0,45.0,0,2,"Feb 6, 2022",24.0,G,1,0,,"Action,Fantasy",yl1Gy0
17946,Yami Shibai 10,Yami Shibai 10,yami-shibai-10,TV,jp,df/28/df284eab6cb601dc56ea03d98acc1c1d/df284eab6cb601dc56ea03d98acc1c1d.jpg,13.0,13.0,0,1,"Jan 10, 2022",5.0,PG-13,1,0,,"Dementia,Horror,Supernatural",5aX2zm
17947,One Piece: Barto no Himitsu no Heya!,One Piece: Barto's Secret Room,one-piece-bartos-secret-room,TV,jp,f7/54/f754bde8fa48765250e63f94b1f89f3b/f754bde8fa48765250e63f94b1f89f3b.png,4.0,4.0,0,1,"Dec 26, 2021",24.0,PG-13,1,0,6.25,Comedy,X7BTh9
17948,86 Special Edition: Senya ni Akaku Hinageshi no Saku,86-Eighty Six- Special Edition - Coquelicots Blooming Across the Battlefield,86eighty-six-special-edition-coquelicots-blooming-across-the-battlefield,Special,jp,8e/94/8e9448521e5959e8db0a6857569d80e5/8e9448521e5959e8db0a6857569d80e5.jpg,1.0,1.0,0,1,,23.0,R,1,0,6.8,"Action,Drama,Sci-Fi",BywoxV
